trip_id,vehicle_id,start_time,end_time,start_hour,day_of_week,is_weekend,speed_mean,speed_std,idle_time_s,idle_ratio,total_km,stop_count,is_anomaly
V0_T0001,0,2024-01-02 08:32:04,2024-01-02 08:32:17,8,1,0,0.0,0.0,96.0,7.3846,0.0,0,0
V0_T0002,0,2024-01-02 09:36:53,2024-01-02 09:46:55,9,1,0,17.88,14.316,336.0,0.5581,3.721,2,0
V0_T0003,0,2024-01-02 09:50:26,2024-01-02 10:03:58,9,1,0,11.56,15.016,636.0,0.7833,2.148,3,0
V0_T0004,0,2024-01-02 10:36:38,2024-01-02 10:48:35,10,1,0,4.51,5.6101,2301.0,3.2092,0.602,3,0
V0_T0005,0,2024-01-02 11:55:39,2024-01-02 12:26:42,11,1,0,7.4,11.7635,1742.0,0.9351,2.689,3,0
V0_T0006,0,2024-01-02 13:48:43,2024-01-02 14:07:58,13,1,0,10.35,13.5,1740.0,1.5065,3.41,2,0
V0_T0007,0,2024-01-02 14:38:47,2024-01-02 14:58:38,14,1,0,10.56,13.7631,2547.0,2.1385,3.11,4,0
V0_T0008,0,2024-01-02 15:24:21,2024-01-02 15:24:47,15,1,0,0.92,1.3081,1543.0,59.3462,0.0,0,0
V0_T0009,0,2024-01-02 16:20:58,2024-01-02 16:34:45,16,1,0,17.17,12.5646,3491.0,4.2213,5.22,3,0
V0_T0010,0,2024-01-03 08:36:18,2024-01-03 09:03:01,8,2,0,13.41,14.4018,3394.0,2.1173,5.33,5,0
V0_T0011,0,2024-01-03 13:13:08,2024-01-03 13:13:30,13,2,0,0.62,1.0681,39.0,1.7727,0.0,1,0
V0_T0012,0,2024-01-03 13:13:40,2024-01-03 13:13:52,13,2,0,0.0,0.0,10.0,0.8333,0.0,0,0
V0_T0013,0,2024-01-03 14:37:53,2024-01-03 15:43:52,14,2,0,12.65,13.4887,3525.0,0.8904,12.0,10,1
V0_T0014,0,2024-01-04 10:56:35,2024-01-04 11:11:51,10,3,0,1.27,2.8435,2639.0,2.881,0.371,1,0
V0_T0015,0,2024-01-04 11:25:59,2024-01-04 11:29:03,11,3,0,0.0,0.0,972.0,5.2826,0.0,0,0
V0_T0016,0,2024-01-04 11:36:19,2024-01-04 11:40:24,11,3,0,0.62,0.9553,560.0,2.2857,0.1,0,0
V0_T0017,0,2024-01-04 12:04:59,2024-01-04 12:11:37,12,3,0,0.69,1.9622,1783.0,4.4799,0.109,1,0
V0_T0018,0,2024-01-04 12:25:50,2024-01-04 12:34:55,12,3,0,0.0,0.0,1346.0,2.4697,0.0,0,0
V0_T0019,0,2024-01-04 12:53:03,2024-01-04 12:58:14,12,3,0,0.26,0.6992,1334.0,4.2894,0.0,1,0
V0_T0020,0,2024-01-04 13:10:18,2024-01-04 13:29:46,13,3,0,11.67,10.9905,1156.0,0.9897,3.33,3,0
V0_T0021,0,2024-01-04 14:13:02,2024-01-04 14:19:53,14,3,0,11.1,12.962,2761.0,6.7178,1.66,1,0
V0_T0022,0,2024-01-04 16:06:23,2024-01-04 16:07:58,16,3,0,0.0,0.0,2815.0,29.6316,0.061,0,0
V0_T0023,0,2024-01-05 17:50:47,2024-01-05 17:51:38,17,4,0,0.0,0.0,181.0,3.549,0.061,0,0
V0_T0024,0,2024-01-06 09:00:23,2024-01-06 09:14:42,9,5,1,16.97,14.8698,1995.0,2.3225,4.039,3,0
V0_T0025,0,2024-01-06 10:33:46,2024-01-06 10:55:39,10,5,1,21.12,11.6416,300.0,0.2285,8.141,1,0
V0_T0026,0,2024-01-08 08:27:09,2024-01-08 08:27:39,8,0,0,0.92,1.3081,2184.0,72.8,0.0,0,0
V0_T0027,0,2024-01-08 11:11:41,2024-01-08 11:13:34,11,0,0,0.0,0.0,1034.0,9.1504,0.059,0,0
V0_T0028,0,2024-01-08 11:58:27,2024-01-08 11:59:08,11,0,0,0.0,0.0,2694.0,65.7073,0.051,0,0
V0_T0029,0,2024-01-08 14:34:21,2024-01-08 14:43:12,14,0,0,12.02,12.1367,2064.0,3.887,1.689,2,0
V0_T0030,0,2024-01-08 14:45:23,2024-01-08 15:05:55,14,0,0,9.5,13.0971,868.0,0.7045,2.711,3,0
V0_T0031,0,2024-01-08 15:11:39,2024-01-08 15:12:09,15,0,0,0.0,0.0,344.0,11.4667,0.0,0,0
V0_T0032,0,2024-01-08 15:32:28,2024-01-08 16:02:30,15,0,0,15.46,12.8427,1819.0,1.0094,9.03,4,0
V0_T0033,0,2024-01-09 09:48:29,2024-01-09 09:57:10,9,1,0,15.05,14.4128,1125.0,2.1593,2.379,3,0
V0_T0034,0,2024-01-09 10:20:31,2024-01-09 10:21:59,10,1,0,0.0,0.0,1462.0,16.6136,0.051,0,0
V0_T0035,0,2024-01-09 11:25:14,2024-01-09 11:37:03,11,1,0,10.75,13.5479,392.0,0.5529,2.209,2,0
V0_T0036,0,2024-01-09 11:45:40,2024-01-09 11:46:52,11,1,0,0.0,0.0,579.0,8.0417,0.05,0,0
V0_T0037,0,2024-01-09 12:30:04,2024-01-09 12:30:29,12,1,0,0.0,0.0,2593.0,103.72,0.049,0,0
V0_T0038,0,2024-01-09 12:50:00,2024-01-09 13:03:16,12,1,0,18.5,21.1314,1417.0,1.7802,4.211,2,0
V0_T0039,0,2024-01-09 13:13:55,2024-01-09 13:14:39,13,1,0,0.0,0.0,640.0,14.5455,0.051,0,0
V0_T0040,0,2024-01-09 13:55:33,2024-01-09 14:03:34,13,1,0,11.94,13.7041,2517.0,5.2328,1.869,2,0
V0_T0041,0,2024-01-09 14:30:29,2024-01-09 14:49:56,14,1,0,20.78,11.8874,1676.0,1.4362,8.15,2,0
V0_T0042,0,2024-01-09 15:25:17,2024-01-09 15:26:03,15,1,0,0.0,0.0,2121.0,46.1087,0.0,0,0
